amount,category,date
2500.0,Food,2026-08-01
1200.0,Transport,2026-08-01
5000.0,Entertainment,2026-08-03
3000.0,Food,2026-08-04
150.0,Transport,2026-08-05
1000.0,Shopping,2026-08-06
4500.0,Food,2026-08-07
2000.0,Entertainment,2026-08-08
800.0,Transport,2026-08-09
3500.0,Shopping,2026-08-10
6000.0,Food,2026-08-11
2500.0,Entertainment,2026-08-12
1000.0,Transport,2026-08-13
4000.0,Food,2026-08-14
3000.0,Shopping,2026-08-15
1500.0,Entertainment,2026-08-16
2000.0,Food,2026-08-17
1000.0,Transport,2026-08-18
